id;code_depense;quantite;date_demande;tva;etat_depense
1;Tasty Divide;53811;2020-08-20;82454;architectures scalable
2;Factors;5571;2020-08-19;16600;Berkshire
3;visualize;26521;2020-08-20;19221;Versatile Washington red
4;Research e-tailers;14901;2020-08-19;22478;Unbranded
5;Directives;58741;2020-08-19;78202;Kip
6;Papua New Guinea Syrian Pound mission-critical;14418;2020-08-19;61054;facilitate
7;Berkshire productize;8095;2020-08-20;26430;District black
8;1080p Awesome Fresh Bike;58093;2020-08-20;75915;SDR
9;withdrawal;38835;2020-08-19;62162;Handmade Metal Gloves
10;Lempira Planner;41112;2020-08-20;15406;Accountability Toys
