id;numero_facture;date_facturation;prix_unite;tva;quantite;frais_livraison;method_paiment;etat_facture
1;best-of-breed robust;2020-08-20;6084;39874;88364;28849;Avon;auxiliary Cambridgeshire SQL
2;cutting-edge Cotton;2020-08-20;51730;79967;68587;92630;quantifying Shoes;input Checking Account Creative
3;deposit Strategist;2020-08-19;74576;9424;55068;71152;collaboration;solid state
4;Metal asymmetric Home Loan Account;2020-08-19;3461;31954;46199;17328;expedite Quality-focused;Books Luxembourg
5;Checking Account Avon;2020-08-19;76900;14112;71526;57403;Officer;index
6;Distributed disintermediate Ridge;2020-08-19;72983;48245;9406;95771;Web Overpass;Licensed Granite Fish Regional
7;calculate deposit synthesize;2020-08-19;98625;75696;63382;32241;Guatemala ability FTP;SSL Ford innovative
8;Product;2020-08-20;19195;19552;1560;23756;compressing Synergized;program Latvian Lats Internal
9;program;2020-08-20;71785;92363;84094;33620;feed invoice;Dominican Peso green Lead
10;redefine Virtual;2020-08-20;323;72192;13793;19272;Usability Personal Loan Account;task-force Ohio
