id;code_ligne;description;allume;lux_max;lux_min;lux_choisi
1;Specialist green;Front-line matrices;false;44211;77186;31483
2;Configuration fuchsia;adapter;true;28948;64275;267
3;Puerto Rico didactic;Marketing;false;62565;71901;72457
4;Open-source redefine;extranet Checking Account;true;38428;51963;19487
5;PCI Yemen;Peso Uruguayo Uruguay Peso en Unidades Indexadas back-end;false;70797;94647;33605
6;Belarus;open system analyzing turn-key;false;3820;54898;13500
7;Micronesia connecting;local area network Handmade;true;30541;13309;50387
8;Arizona object-oriented;lavender;false;7532;97450;10994
9;generating Strategist User-centric;Savings Account Associate;false;31243;43298;20514
10;data-warehouse productivity Developer;Specialist;true;33026;34276;57891
