id;code_phase;date_debut;date_fin;nombre_poulets;nombre_deces
1;Gloves Manager;2020-08-20;2020-08-19;27643;2499
2;Tactics navigate;2020-08-19;2020-08-19;85598;64743
3;Iraqi Dinar Chief THX;2020-08-19;2020-08-19;68556;98937
4;Serbian Dinar composite;2020-08-19;2020-08-19;33070;88641
5;withdrawal;2020-08-19;2020-08-19;24090;58920
6;Kenyan Shilling Handcrafted Auto Loan Account;2020-08-19;2020-08-20;46513;19052
7;Integration Regional cutting-edge;2020-08-20;2020-08-19;60339;51255
8;District New York Russian Ruble;2020-08-19;2020-08-20;47210;39016
9;Beauty Hat Pizza;2020-08-19;2020-08-20;50324;60485
10;Car wireless;2020-08-20;2020-08-19;4643;69959
