id;code_produit;designation;prix_unitaire
1;conglomeration Marketing solutions;Health Future Grocery;76924
2;connecting;Accountability XSS Iowa;58092
3;Movies Division;Trafficway auxiliary Myanmar;91188
4;Internal Wooden;Enterprise-wide Fantastic Plastic Shirt;48025
5;Money Market Account China Credit Card Account;Accounts;17906
6;Jewelery navigate;back up;44289
7;Cambridgeshire;Facilitator deposit Practical;42003
8;emulation;Borders non-volatile Buckinghamshire;59106
9;Fresh Iraqi Dinar array;Saint Lucia;18100
10;Chair;bypass;11024
