id;quantite;prix_unitaire;description;method_paiment
1;42117;84962;asynchronous copying Tuna;Auto Loan Account Ethiopia
2;9927;47864;Texas Oklahoma;Profit-focused Response Mississippi
3;2695;33635;North Carolina Lead PCI;Administrator Saint Helena Pound Cheese
4;51459;46318;Tactics Handcrafted;cross-platform Beauty Incredible Steel Shirt
5;76383;26279;primary 5th generation;e-business Avon users
6;4831;79062;Sleek Silver transmitting;User-friendly Frozen Maldives
7;46179;90087;Intuitive;Fish Uzbekistan Sum content
8;23831;40680;Directives interactive Senior;Factors feed Regional
9;7433;34650;Kansas Forward Usability;SAS
10;7422;9206;Organic Kyrgyz Republic;attitude-oriented plum
